Width,Height,Area,Gesture
246,103,25338,2
246,103,25338,2
247,104,25688,2
247,103,25441,2
246,104,25584,2
246,104,25584,2
247,103,25441,2
248,104,25792,2
247,104,25688,2
247,104,25688,2
249,104,25896,2
246,104,25584,2
246,104,25584,2
248,104,25792,2
247,105,25935,2
248,105,26040,2
246,104,25584,2
244,104,25376,2
245,104,25480,2
245,104,25480,2
246,104,25584,2
247,104,25688,2
246,104,25584,2
245,104,25480,2
246,104,25584,2
248,104,25792,2
245,104,25480,2
247,104,25688,2
247,104,25688,2
245,104,25480,2
247,103,25441,2
246,104,25584,2
245,104,25480,2
247,103,25441,2
247,104,25688,2
245,104,25480,2
244,104,25376,2
242,110,26620,2
246,110,27060,2
245,109,26705,2
243,107,26001,2
244,106,25864,2
243,107,26001,2
245,108,26460,2
244,107,26108,2
245,105,25725,2
244,106,25864,2
245,103,25235,2
246,103,25338,2
247,103,25441,2
245,102,24990,2
246,102,25092,2
245,103,25235,2
244,103,25132,2
244,103,25132,2
245,104,25480,2
245,104,25480,2
244,104,25376,2
246,104,25584,2
245,104,25480,2
246,104,25584,2
246,104,25584,2
247,105,25935,2
247,104,25688,2
246,104,25584,2
246,104,25584,2
246,104,25584,2
247,104,25688,2
245,103,25235,2
246,103,25338,2
246,103,25338,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
244,104,25376,2
245,103,25235,2
244,103,25132,2
243,103,25029,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
246,103,25338,2
244,103,25132,2
244,103,25132,2
244,104,25376,2
245,103,25235,2
245,103,25235,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
245,104,25480,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
246,103,25338,2
244,103,25132,2
245,103,25235,2
243,103,25029,2
243,103,25029,2
244,102,24888,2
245,102,24990,2
245,103,25235,2
243,103,25029,2
245,103,25235,2
244,103,25132,2
243,103,25029,2
246,103,25338,2
245,103,25235,2
245,103,25235,2
245,103,25235,2
245,103,25235,2
246,103,25338,2
244,103,25132,2
245,103,25235,2
244,103,25132,2
244,103,25132,2
247,102,25194,2
245,103,25235,2
243,102,24786,2
244,102,24888,2
244,102,24888,2
243,103,25029,2
246,102,25092,2
244,103,25132,2
242,102,24684,2
245,102,24990,2
242,102,24684,2
244,102,24888,2
243,102,24786,2
242,102,24684,2
243,102,24786,2
244,102,24888,2
244,102,24888,2
245,102,24990,2
244,102,24888,2
241,102,24582,2
246,102,25092,2
243,102,24786,2
246,103,25338,2
245,103,25235,2
247,103,25441,2
247,103,25441,2
246,103,25338,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
243,103,25029,2
243,103,25029,2
243,102,24786,2
242,102,24684,2
245,102,24990,2
244,102,24888,2
243,102,24786,2
243,103,25029,2
244,102,24888,2
246,103,25338,2
243,103,25029,2
243,103,25029,2
243,103,25029,2
244,103,25132,2
245,103,25235,2
241,103,24823,2
243,103,25029,2
245,102,24990,2
242,102,24684,2
245,102,24990,2
244,102,24888,2
241,102,24582,2
241,102,24582,2
244,102,24888,2
244,102,24888,2
244,102,24888,2
245,102,24990,2
244,103,25132,2
243,102,24786,2
